CountryOther,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-03-2020,05-04-2020,05-05-2020
Albania,232,232,232,232,232,235,201,207,254,262,279,280,269,272,255,243,233,219,211
Algeria,1486,1486,1486,1486,1486,1313,1309,1295,1341,1366,1431,1468,1534,1688,1738,1736,1845,1930,2027
Andorra,283,283,283,283,283,283,212,191,141,130,111,102,97,80,63,50,35,33,34
Angola,12,12,12,12,12,11,10,8,6,6,6,7,8,8,8,10,11,11,12
Argentina,1466,1466,1466,1466,1466,1299,1376,1392,1529,1448,1630,1564,1718,1840,1855,1861,1840,1854,1875
Armenia,579,579,579,579,579,588,517,568,675,740,779,795,828,773,865,900,1047,1106,1146
Australia,1709,1709,1709,1709,1709,1482,868,781,515,449,414,391,359,288,265,234,189,200,202
Austria,4052,4052,4052,4052,4052,3659,2727,2486,1737,1508,1327,1252,1213,994,1009,928,887,838,753
Azerbaijan,899,899,899,899,899,894,814,795,622,601,559,547,530,513,521,514,534,548,580
Bahamas,34,34,34,34,34,32,31,31,31,31,32,33,31,27,27,27,23,19,24
Bahrain,961,961,961,961,961,1104,1173,1151,1330,1520,1549,1511,1362,1248,1340,1426,1510,1626,1747
Bangladesh,961,961,961,961,961,1177,2368,2825,3856,4265,4516,4795,5110,5872,6095,6400,6999,7195,7547
Barbados,39,39,39,39,39,30,19,15,10,9,11,8,8,5,6,6,7,7,7
Belarus,3129,3129,3129,3129,3129,3576,4215,5564,6536,6792,7364,7885,8370,9453,9823,10138,11926,11225,11627
Belgium,18344,18344,18344,18344,18344,19609,18805,19169,17814,17626,17307,16487,16098,14286,13710,12894,11410,10284,9553
Belize,15,15,15,15,15,15,13,11,9,8,5,4,0,0,0,0,0,0,0
Benin,27,27,27,27,27,22,15,28,28,23,23,29,29,34,47,53,53,42,42
Bhutan,1,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,1,1
Bolivia,282,282,282,282,282,318,381,404,435,531,566,620,660,669,702,736,1030,1083,1193
Botswana,10,10,10,10,10,9,14,14,9,9,9,9,9,10,8,8,3,3,3
