,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Albania,494,19,25,1,251,218,5,172.0,9.0,4558,1584,Europe,475,24,232,102,128,86,149,64,55,04-16-2020
1,1,Algeria,2070,0,326,0,691,1053,60,47.0,7.0,3359,77,Africa,2070,326,1486,44,63,56,24,45,81,04-16-2020
2,2,Andorra,673,14,33,2,169,471,17,8710.0,427.0,1673,21653,Europe,659,31,283,10,25,17,23,7,4,04-16-2020
3,3,Angola,19,0,2,0,5,12,0,0.6,0.06,0,0,Africa,19,2,12,165,178,181,164,165,181,04-16-2020
4,4,Argentina,2443,166,109,7,596,1738,117,54.0,2.0,24374,539,America,2432,105,1466,39,60,49,34,71,75,04-16-2020
5,5,Armenia,1111,44,17,1,297,797,30,375.0,6.0,9095,3069,Europe,1111,17,579,41,63,81,102,56,104,04-16-2020
6,6,Australia,6447,47,63,2,3686,2698,76,253.0,2.0,371377,14564,Oceania,6416,61,1709,2,17,12,17,39,32,04-16-2020
7,7,Austria,14325,99,393,9,8098,5834,232,1591.0,44.0,156801,17410,Europe,14234,384,4052,17,8,10,6,15,9,04-16-2020
8,8,Azerbaijan,1253,56,13,0,404,836,24,124.0,1.0,75397,7436,Europe,1197,13,899,65,99,103,162,60,109,04-16-2020
9,9,Bahamas,49,0,8,0,6,35,1,125.0,20.0,0,0,America,49,8,34,109,67,64,22,137,98,04-16-2020
10,10,Bahrain,1671,143,7,0,663,1001,3,982.0,4.0,72647,42694,Asia,1528,7,961,61,72,58,48,30,42,04-16-2020
11,11,Bangladesh,1231,219,50,4,49,1132,1,7.0,0.3,14868,90,Asia,1012,46,961,140,125,131,144,103,88,04-16-2020
12,12,Barbados,73,0,5,0,15,53,4,254.0,17.0,864,3007,America,73,5,39,53,36,38,36,87,46,04-16-2020
13,13,Belarus,3728,447,36,3,203,3489,68,395.0,4.0,76198,8064,Europe,3281,33,3129,83,46,53,74,116,72,04-16-2020
14,14,Belgium,33573,2454,4440,283,7107,22026,1204,2897.0,383.0,128132,11056,Europe,31119,4157,18344,16,26,13,15,28,21,04-16-2020
15,15,Belize,18,0,2,0,0,16,1,45.0,5.0,567,1426,America,18,2,15,94,95,104,88,34,69,04-16-2020
16,16,Benin,35,0,1,0,18,16,0,3.0,0.08,0,0,Africa,35,1,27,157,132,143,171,136,97,04-16-2020
17,17,Bhutan,5,0,0,0,2,3,0,6.0,0.0,1166,1511,Asia,5,0,1,138,158,144,135,73,124,04-16-2020
18,18,Bolivia,397,43,28,0,7,362,3,34.0,2.0,2185,187,America,397,28,282,133,118,117,101,142,126,04-16-2020
19,19,Botswana,13,0,1,0,0,12,0,6.0,0.4,3115,1325,Africa,13,1,10,187,146,168,85,188,169,04-16-2020
20,20,Brazil,25758,496,1557,25,14026,10175,296,121.0,7.0,62985,296,America,25262,1532,19545,111,108,125,54,78,125,04-16-2020
21,21,Bulgaria,747,34,36,1,105,606,29,108.0,5.0,18502,2663,Europe,713,35,314,60,53,74,96,92,102,04-16-2020
22,22,Burundi,5,0,1,0,0,4,0,0.4,0.08,0,0,Africa,5,1,3,179,154,161,186,171,143,04-16-2020
23,23,Cambodia,122,0,0,0,96,26,1,7.0,0.0,5768,345,Asia,122,0,13,148,150,166,140,157,174,04-16-2020
24,24,Cameroon,848,0,17,3,165,666,0,32.0,0.6,0,0,Africa,855,17,662,156,160,163,131,172,164,04-16-2020
