,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Sum of Cases,Sum of Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,2704,235,85,13,345,2274,7,69.0,2.0,11068,284,Asia,2469,72,1561,164,182,183,184,150,173,05-03-2020
1,1,Albania,795,6,31,0,531,233,7,276.0,11.0,8866,3081,Europe,789,31,241,102,128,86,149,64,55,05-03-2020
2,2,Algeria,4295,0,459,0,1872,1964,22,98.0,10.0,6500,148,Africa,4295,459,1760,44,63,56,24,45,81,05-03-2020
3,3,Andorra,747,0,44,0,472,231,17,9668.0,569.0,1673,21653,Europe,747,44,43,10,25,17,23,7,4,05-03-2020
4,4,Angola,35,0,2,0,11,22,0,1.0,0.06,481,15,Africa,35,2,11,165,178,181,164,165,181,05-03-2020
5,5,Argentina,4681,0,241,4,1354,3086,157,104.0,5.0,65813,1456,America,4668,237,1840,39,60,49,34,71,75,05-03-2020
6,6,Armenia,2386,113,35,2,1035,1316,10,805.0,12.0,24177,8159,Europe,2273,33,982,41,63,81,102,56,104,05-03-2020
7,7,Australia,6801,20,95,2,5817,889,29,267.0,4.0,633107,24828,Oceania,6783,93,197,2,17,12,17,39,32,05-03-2020
8,8,Austria,15597,39,598,2,13228,1771,114,1732.0,66.0,274355,30462,Europe,15558,596,896,17,8,10,6,15,9,05-03-2020
9,9,Azerbaijan,1932,38,25,0,1441,466,17,191.0,2.0,157932,15576,Europe,1894,25,521,65,99,103,162,60,109,05-03-2020
10,10,Bahamas,83,0,11,0,24,48,1,211.0,28.0,1353,3441,America,83,11,25,109,67,64,22,137,98,05-03-2020
11,11,Bahrain,3356,72,8,0,1717,1631,1,1972.0,5.0,143030,84057,Asia,3284,8,1511,61,72,58,48,30,42,05-03-2020
