,Unnamed: 0,Unnamed: 0.1,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,0,Albania,832,12,31,0,595,206,7,289.0,11.0,9531,3312,Europe,820,31,211,102,128,86,149,64,55,05-05-2020
1,1,1,Algeria,4997,159,476,6,2197,2324,22,114.0,11.0,6500,148,Africa,4838,470,2027,44,63,56,24,45,81,05-05-2020
2,2,2,Andorra,751,0,46,0,521,184,15,9720.0,595.0,1673,21653,Europe,751,46,34,10,25,17,23,7,4,05-05-2020
3,3,3,Angola,36,0,2,0,11,23,0,1.0,0.06,3000,91,Africa,36,2,12,165,178,181,164,165,181,05-05-2020
4,4,4,Argentina,5020,0,264,0,1524,3232,148,111.0,6.0,72315,1600,America,5007,264,1875,39,60,49,34,71,75,05-05-2020
5,5,5,Armenia,2782,163,40,0,1135,1607,10,939.0,13.0,26929,9088,Europe,2619,40,1146,41,63,81,102,56,104,05-05-2020
6,6,6,Australia,6875,26,97,1,5984,794,27,270.0,4.0,688656,27006,Oceania,6849,96,202,2,17,12,17,39,32,05-05-2020
7,7,7,Austria,15684,34,608,2,13639,1437,97,1741.0,68.0,292254,32450,Europe,15586,606,753,17,8,10,6,15,9,05-05-2020
8,8,8,Azerbaijan,2127,67,28,2,1536,563,18,210.0,3.0,169790,16746,Europe,2060,26,580,65,99,103,162,60,109,05-05-2020
9,9,9,Bahamas,89,0,11,0,26,52,1,226.0,28.0,1485,3776,America,89,11,24,109,67,64,22,137,98,05-05-2020
10,10,10,Bahrain,3934,214,8,0,1860,2066,4,2312.0,5.0,160341,94231,Asia,3720,8,1747,61,72,58,48,30,42,05-05-2020
11,11,11,Bangladesh,11719,790,186,3,1403,10130,1,71.0,1.0,99646,605,Asia,10929,183,7547,140,125,131,144,103,88,05-05-2020
12,12,12,Barbados,82,0,7,0,47,28,4,285.0,24.0,2549,8870,America,82,7,7,53,36,38,36,87,46,05-05-2020
13,13,13,Belarus,19255,905,112,5,4388,14755,92,2038.0,12.0,220045,23287,Europe,18350,107,11627,83,46,53,74,116,72,05-05-2020
14,14,14,Belgium,50781,272,8339,323,12731,29711,646,4382.0,720.0,474176,40914,Europe,50509,8016,9553,16,26,13,15,28,21,05-05-2020
15,15,15,Belize,18,0,2,0,16,0,0,45.0,5.0,1043,2623,America,18,2,0,94,95,104,88,34,69,05-05-2020
16,16,16,Benin,96,0,2,0,50,44,0,8.0,0.2,0,0,Africa,96,2,42,157,132,143,171,136,97,05-05-2020
17,17,17,Bhutan,7,0,0,0,5,2,0,9.0,0.0,11373,14739,Asia,7,0,1,138,158,144,135,73,124,05-05-2020
18,18,18,Bolivia,1802,121,86,4,187,1529,3,154.0,7.0,7651,655,America,1802,86,1193,133,118,117,101,142,126,05-05-2020
19,19,19,Botswana,23,0,1,0,8,14,0,10.0,0.4,9066,3855,Africa,23,1,3,187,146,168,85,188,169,05-05-2020
20,20,20,Brazil,121600,6885,8022,101,48221,65357,8318,572.0,38.0,339552,1597,America,114715,7921,71636,111,108,125,54,78,125,05-05-2020
21,21,21,Bulgaria,1778,74,84,4,360,1334,38,256.0,12.0,51768,7450,Europe,1689,78,714,60,53,74,96,92,102,05-05-2020
22,22,22,Burundi,15,0,1,0,7,7,0,1.0,0.08,284,24,Africa,19,1,13,179,154,161,186,171,143,05-05-2020
23,23,23,Cambodia,122,0,0,0,120,2,1,7.0,0.0,12611,754,Asia,122,0,0,148,150,166,140,157,174,05-05-2020
24,24,24,Cameroon,2265,161,64,0,1000,1201,12,85.0,2.0,0,0,Africa,2104,64,941,156,160,163,131,172,164,05-05-2020
25,25,25,Canada,63375,1329,4223,180,26993,32159,502,1679.0,112.0,940567,24921,America,62046,4043,23633,12,18,7,10,35,30,05-05-2020
26,26,26,Chad,170,0,17,0,43,110,0,10.0,1.0,0,0,Africa,170,17,136,161,175,177,175,161,178,05-05-2020
27,27,27,Chile,23048,1032,281,6,11189,11578,470,1206.0,15.0,232108,12142,America,22016,275,11184,32,1,33,44,23,33,05-05-2020
28,28,28,Colombia,8613,0,378,0,2013,6222,128,169.0,7.0,127105,2498,America,8613,378,4464,74,44,41,49,51,22,05-05-2020
29,29,29,Comoros,4,1,1,1,0,3,0,5.0,1.0,0,0,Africa,4,1,4,146,143,137,165,141,118,05-05-2020
30,30,30,Congo,264,28,10,0,30,224,0,48.0,2.0,0,0,Africa,236,10,71,150,142,155,122,167,166,05-05-2020
31,31,31,Croatia,2119,7,85,2,1601,433,14,516.0,21.0,41053,10000,Europe,2112,83,204,38,33,36,56,57,43,05-05-2020
32,32,32,Cuba,1703,18,69,0,1001,633,8,150.0,6.0,57711,5095,America,1685,69,548,33,41,40,118,36,39,05-05-2020
33,33,33,Cyprus,883,5,15,0,296,572,15,731.0,12.0,66975,55472,Europe,878,20,94,25,31,28,39,22,24,05-05-2020
34,34,34,Denmark,9938,117,506,3,7493,1939,46,1716.0,87.0,270680,46732,Europe,9821,503,2126,28,21,20,8,65,34,05-05-2020
35,35,35,Djibouti,1120,0,2,0,745,373,0,1134.0,2.0,14378,14553,Africa,1120,2,175,166,169,170,163,163,157,05-05-2020
36,36,36,Dominica,16,0,0,0,14,2,0,222.0,0.0,416,5779,America,16,0,0,26,35,42,70,59,35,05-05-2020
37,37,37,Ecuador,31881,0,1569,0,3433,26879,159,1807.0,89.0,80171,4544,America,31881,1569,21483,93,133,107,97,96,111,05-05-2020
38,38,38,Egypt,7588,387,469,17,1815,5304,0,74.0,5.0,90000,879,Africa,7201,452,3711,115,141,110,115,43,63,05-05-2020
39,39,39,Eritrea,39,0,0,0,30,9,0,11.0,0.0,0,0,Africa,39,0,0,169,167,176,187,148,158,05-05-2020
40,40,40,Estonia,1713,2,55,0,264,1394,4,1291.0,41.0,58955,44443,Europe,1711,55,159,69,43,48,60,115,77,05-05-2020
41,41,41,Ethiopia,162,17,4,0,93,65,0,1.0,0.03,26517,231,Africa,145,4,31,182,176,186,189,169,180,05-05-2020
42,42,42,Fiji,18,0,0,0,14,4,0,20.0,0.0,1300,1450,Oceania,18,0,0,106,71,78,87,124,96,05-05-2020
43,43,43,Finland,5573,161,252,6,3500,1821,44,1006.0,45.0,108200,19528,Europe,5412,246,1398,20,27,22,18,44,31,05-05-2020
44,44,44,France,174191,3640,25809,278,53972,94410,3147,2669.0,395.0,1100228,16856,Europe,132967,25531,15643,3,12,6,4,4,1,05-05-2020
45,45,45,Gabon,397,0,6,0,93,298,1,178.0,3.0,724,325,Africa,397,6,241,144,136,141,95,143,139,05-05-2020
46,46,46,Gambia,17,0,1,0,9,7,0,7.0,0.4,562,233,Africa,17,1,7,143,155,153,158,109,146,05-05-2020
47,47,47,Georgia,610,6,9,0,269,332,6,153.0,2.0,20579,5159,Europe,604,9,196,44,61,76,125,84,114,05-05-2020
48,48,48,Germany,167575,568,7190,197,137400,22985,1884,2000.0,86.0,2547052,30400,Europe,164897,6996,19203,22,20,14,3,41,25,05-05-2020
49,49,49,Ghana,2719,0,18,0,294,2407,4,88.0,0.6,129461,4166,Africa,2719,18,1677,149,149,139,166,158,135,05-05-2020
50,50,50,Greece,2663,21,147,1,1374,1142,36,255.0,14.0,87052,8352,Europe,2642,146,241,7,6,23,30,11,14,05-05-2020
51,51,51,Grenada,21,0,0,0,13,8,4,187.0,0.0,1406,12495,America,21,0,7,49,82,68,67,49,85,05-05-2020
52,52,52,Guatemala,763,33,19,0,79,665,5,43.0,1.0,7200,402,America,763,19,447,129,106,113,130,99,78,05-05-2020
53,53,53,Guinea,1856,45,11,1,597,1248,0,141.0,0.8,0,0,Africa,1811,10,1123,167,166,172,159,160,161,05-05-2020
54,54,54,Guyana,93,1,10,1,27,56,3,118.0,13.0,680,865,America,93,10,26,98,126,116,109,104,128,05-05-2020
55,55,55,Haiti,101,0,12,0,10,79,0,9.0,1.0,1037,91,America,101,12,43,153,152,145,155,139,138,05-05-2020
56,56,56,Honduras,1270,92,93,10,122,1055,10,128.0,9.0,5653,571,America,1270,93,760,92,119,129,100,48,131,05-05-2020
57,57,57,Hungary,3111,46,373,10,759,1979,50,322.0,39.0,86743,8979,Europe,3111,373,943,62,40,43,59,105,66,05-05-2020
58,58,58,Iceland,1799,0,10,0,1750,39,0,5272.0,29.0,51663,151397,Europe,1799,10,21,19,24,16,14,27,15,05-05-2020
59,59,59,India,52987,3587,1785,92,15331,35871,0,38.0,1.0,1276781,925,Asia,49391,1694,29407,19,13,121,133,118,112,05-05-2020
60,60,60,Indonesia,12438,367,895,23,2317,9226,0,45.0,3.0,121547,444,Asia,12071,872,4936,103,156,106,154,90,92,05-05-2020
61,61,61,Iran,101650,1680,6418,78,81587,13645,2735,1210.0,76.0,531275,6325,Asia,99970,6340,15168,96,113,114,94,58,93,05-05-2020
62,62,62,Iraq,2480,49,102,0,1602,776,0,62.0,3.0,117726,2927,Asia,2431,102,829,126,130,124,117,75,103,05-05-2020
63,63,63,Ireland,22248,265,1375,36,13386,7487,93,4506.0,278.0,214761,43493,Europe,21983,1339,5943,27,13,25,25,32,19,05-05-2020
64,64,64,Israel,16314,25,238,0,10527,5549,90,1885.0,27.0,423125,48885,Asia,16289,238,2347,23,7,24,19,40,28,05-05-2020
65,65,65,Italy,214457,1444,29684,369,93245,91528,1333,3547.0,491.0,2310929,38221,Europe,213013,29315,29056,6,14,11,11,3,2,05-05-2020
66,66,66,Jamaica,473,2,9,0,56,408,0,160.0,3.0,5993,2024,America,473,9,240,36,87,69,89,8,53,05-05-2020
67,67,67,Japan,15253,0,556,0,4496,10201,308,121.0,4.0,186343,1473,Asia,15354,543,3858,1,3,1,13,9,10,05-05-2020
68,68,68,Jordan,473,2,9,0,377,87,5,46.0,0.9,97110,9518,Asia,471,9,46,101,83,84,98,100,83,05-05-2020
69,69,69,Kazakhstan,4422,217,30,1,1408,2984,31,236.0,2.0,336480,17920,Asia,4277,29,2252,122,52,62,112,135,64,05-05-2020
70,70,70,Kenya,582,47,26,2,190,366,1,11.0,0.5,25861,481,Africa,535,24,254,162,135,142,152,178,140,05-05-2020
71,71,71,Kuwait,6289,485,42,2,2219,4028,88,1473.0,10.0,196397,45988,Asia,5804,40,3724,68,54,46,41,68,45,05-05-2020
72,72,72,Kyrgyzstan,871,28,12,1,614,245,13,134.0,2.0,59490,9118,Asia,871,12,259,123,122,135,146,134,151,05-05-2020
73,73,73,Laos,19,0,0,0,10,9,0,3.0,0.0,2505,344,Asia,19,0,0,147,147,154,157,155,165,05-05-2020
74,74,74,Latvia,900,4,17,0,464,419,3,477.0,9.0,68627,36384,Europe,896,17,148,82,56,67,77,121,105,05-05-2020
75,75,75,Lebanon,750,9,25,0,206,519,43,110.0,4.0,44701,6549,Asia,741,25,64,95,88,93,46,97,91,05-05-2020
76,76,76,Liberia,178,8,20,0,75,83,0,35.0,4.0,0,0,Africa,170,20,69,181,191,187,181,176,186,05-05-2020
77,77,77,Libya,64,1,3,0,24,37,0,9.0,0.4,2338,340,Africa,63,3,12,107,102,97,84,94,87,05-05-2020
78,78,78,Lithuania,1428,5,48,2,718,662,17,525.0,18.0,156493,57486,Europe,1423,46,158,63,48,52,71,93,73,05-05-2020
79,79,79,Luxembourg,3851,11,98,2,3452,301,20,6152.0,157.0,50533,80726,Europe,3840,96,222,18,22,5,5,31,16,05-05-2020
80,80,80,Madagascar,158,7,0,0,101,57,1,6.0,0.0,3907,141,Africa,168,0,47,172,168,167,190,173,159,05-05-2020
81,81,81,Malawi,43,2,3,0,9,31,1,2.0,0.2,961,50,Africa,41,3,23,189,187,182,161,187,185,05-05-2020
82,82,82,Malaysia,6428,45,107,1,4702,1619,22,199.0,3.0,222150,6864,Asia,6383,106,901,89,49,55,93,86,49,05-05-2020
83,83,83,Maldives,618,45,2,0,20,596,2,1143.0,4.0,9863,18246,Asia,573,1,488,130,134,128,76,147,147,05-05-2020
84,84,84,Mali,631,19,32,0,261,338,0,31.0,2.0,2172,107,Africa,612,32,354,183,180,178,179,170,163,05-05-2020
85,85,85,Malta,484,2,5,0,407,72,0,1096.0,11.0,38337,86825,Europe,482,5,39,21,38,31,37,2,5,05-05-2020
86,86,86,Mauritania,8,0,1,0,6,1,0,2.0,0.2,1842,396,Africa,8,1,1,158,163,169,141,151,162,05-05-2020
87,87,87,Mauritius,332,0,10,0,320,2,3,261.0,8.0,55494,43635,Africa,332,10,4,78,77,90,69,113,84,05-05-2020
88,88,88,Mexico,26025,1120,2507,236,16810,6708,378,202.0,19.0,100041,776,America,26025,2507,16524,55,65,51,55,63,61,05-05-2020
89,89,89,Moldova,4476,113,143,7,1658,2675,237,1110.0,35.0,20447,5069,Europe,4363,136,1749,88,64,91,108,106,101,05-05-2020
90,90,90,Monaco,95,0,4,0,82,9,1,2421.0,102.0,0,0,Europe,95,4,1,9,30,18,12,12,13,05-05-2020
91,91,91,Mongolia,41,0,0,0,13,28,0,13.0,0.0,8946,2729,Asia,41,0,6,131,148,136,145,138,145,05-05-2020
92,92,92,Morocco,5408,189,183,2,2017,3208,1,147.0,5.0,52958,1435,Africa,5219,191,2010,110,111,94,99,17,29,05-05-2020
93,93,93,Mozambique,81,0,0,0,19,62,0,3.0,0.0,2867,92,Africa,81,0,42,180,190,185,160,168,184,05-05-2020
94,94,94,Myanmar,161,0,6,0,50,105,0,3.0,0.1,9037,166,Asia,161,6,40,139,162,175,136,129,190,05-05-2020
95,95,95,Namibia,16,0,0,0,8,8,0,6.0,0.0,1122,442,Africa,16,0,0,177,173,165,66,189,168,05-05-2020
96,96,96,Nepal,99,17,0,0,22,77,0,3.0,0.0,64492,2213,Asia,82,0,40,142,161,160,170,98,150,05-05-2020
97,97,97,Netherlands,41319,232,5204,36,0,35865,628,2411.0,304.0,243277,14198,Europe,41087,5168,6953,13,15,8,9,19,17,05-05-2020
98,98,98,Nicaragua,16,0,5,0,7,4,0,2.0,0.8,0,0,America,16,5,6,117,96,101,104,74,71,05-05-2020
99,99,99,Niger,763,0,38,0,543,182,0,32.0,2.0,5375,222,Africa,763,38,108,190,184,188,185,177,170,05-05-2020
100,100,100,Nigeria,2950,0,98,0,481,2371,4,14.0,0.5,21208,103,Africa,2950,98,2168,163,188,184,176,175,187,05-05-2020
101,101,101,Norway,7976,21,216,1,32,7728,27,1471.0,40.0,189657,34984,Europe,7903,209,737,15,4,3,16,18,11,05-05-2020
102,102,102,Oman,2903,168,13,0,888,2002,17,568.0,3.0,40459,7923,Asia,2735,12,1227,72,59,59,62,1,8,05-05-2020
103,103,103,Pakistan,23214,1165,544,30,6281,16389,111,105.0,2.0,232582,1053,Asia,22550,526,12801,124,183,133,142,85,122,05-05-2020
104,104,104,Panama,7523,136,210,7,823,6490,88,1744.0,49.0,36483,8455,America,7523,210,2702,47,93,70,53,67,95,05-05-2020
105,105,105,Paraguay,440,9,10,0,142,288,9,62.0,1.0,11913,1670,America,431,10,218,71,57,73,91,52,57,05-05-2020
106,106,106,Peru,51189,0,1444,0,15413,34332,709,1553.0,44.0,406579,12331,America,51189,1444,33352,105,103,115,78,119,129,05-05-2020
107,107,107,Philippines,10004,320,658,21,1506,7840,31,91.0,6.0,140134,1279,Asia,9684,637,3085,113,50,54,124,126,60,05-05-2020
108,108,108,Poland,14740,309,733,17,4655,9352,160,389.0,19.0,410468,10846,Europe,14431,716,4575,45,5,34,58,89,50,05-05-2020
109,109,109,Portugal,26182,480,1089,15,2076,23017,136,2568.0,107.0,470234,46116,Europe,25702,1074,4484,29,34,32,28,13,12,05-05-2020
110,110,110,Qatar,17972,830,12,0,2070,15890,72,6238.0,4.0,112963,39209,Asia,17142,12,10609,66,55,47,27,53,44,05-05-2020
111,111,111,Romania,14107,270,864,23,5788,7455,244,733.0,45.0,217139,11287,Europe,13837,827,4595,80,78,72,107,111,99,05-05-2020
112,112,112,Russia,165929,10559,1537,86,21327,143065,2300,1137.0,11.0,4633731,31752,Europe,155370,1451,102607,91,69,100,75,127,130,05-05-2020
113,113,113,Rwanda,261,0,0,0,129,132,0,20.0,0.0,35992,2779,Africa,261,0,111,185,185,171,177,181,172,05-05-2020
114,114,114,Senegal,1433,104,12,1,493,928,6,86.0,0.7,18969,1133,Africa,1329,11,917,151,105,118,143,132,59,05-05-2020
115,115,115,Seychelles,11,0,0,0,8,3,0,112.0,0.0,0,0,Africa,11,0,0,108,73,83,52,83,56,05-05-2020
116,116,116,Singapore,20198,788,20,2,1634,18544,23,3452.0,3.0,175604,30016,Asia,19410,18,10285,30,29,27,38,14,6,05-05-2020
117,117,117,Slovakia,1429,8,25,0,762,642,4,262.0,5.0,104606,19160,Europe,1421,25,222,42,39,39,45,88,62,05-05-2020
118,118,118,Slovenia,1448,3,99,1,246,1103,14,697.0,48.0,58923,28343,Europe,1445,98,105,34,23,29,29,62,38,05-05-2020
119,119,119,Somalia,873,38,39,1,87,747,2,55.0,2.0,0,0,Africa,835,38,549,173,179,189,191,154,179,05-05-2020
120,120,120,Spain,253682,3121,25857,244,159359,68466,2075,5426.0,553.0,1932455,41332,Europe,219329,25613,22187,5,11,19,24,6,7,05-05-2020
121,121,121,Sudan,852,74,45,0,80,727,0,19.0,1.0,0,0,Africa,778,45,671,154,159,148,169,149,134,05-05-2020
122,122,122,Suriname,10,0,1,0,9,0,0,17.0,2.0,404,689,America,10,1,0,77,94,105,72,77,110,05-05-2020
