CountryOther,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-03-2020,05-04-2020,05-05-2020
Albania,25,25,25,25,25,26,26,26,27,27,28,28,30,31,31,31,31,31,31
Algeria,326,326,336,336,336,348,384,392,407,419,419,425,432,444,450,459,465,470,476
Andorra,33,33,33,33,33,33,37,37,37,40,40,40,40,42,42,44,45,45,46
Angola,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,109,109,109,109,111,115,136,147,167,179,185,192,197,214,218,229,249,260,264
Armenia,17,17,17,17,17,18,22,24,27,28,28,29,30,32,33,33,39,40,40
Australia,63,63,63,63,63,63,71,71,79,80,83,83,84,91,93,93,95,96,97
Austria,393,393,393,393,393,410,470,491,530,536,542,549,569,584,589,596,600,606,608
Azerbaijan,13,13,13,13,13,15,19,20,21,21,21,22,22,24,24,25,26,26,28
Bahamas,8,8,8,8,8,8,9,9,11,11,11,11,11,11,11,11,11,11,11
Bahrain,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Bangladesh,50,50,50,50,50,60,101,110,131,140,145,152,155,168,170,175,182,183,186
Barbados,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7
Belarus,36,36,36,36,36,40,51,55,63,67,72,75,79,89,93,97,103,107,112
Belgium,4440,4440,4440,4440,4440,4857,5828,5998,6679,6917,7094,7207,7331,7594,7703,7765,7924,8016,8339
Belize,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Benin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,28,28,28,28,28,29,33,34,43,44,46,50,53,59,62,66,76,82,86
Botswana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,1557,1557,1590,1590,1736,1924,2845,2588,3365,4016,4057,4298,4603,5513,6006,6491,7288,7367,8022
Bulgaria,36,36,36,36,36,38,43,45,54,55,55,56,58,65,66,72,78,80,84
Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,17,17,17,17,17,22,42,43,43,53,56,56,58,61,61,64,64,64,64
Canada,903,954,954,954,1006,1191,1680,1831,2147,2462,2465,2560,2707,2996,3184,3560,3842,3918,4223
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,10,10,17
Chile,92,94,94,94,94,105,139,147,168,181,181,189,198,227,227,247,270,275,281
Colombia,127,127,127,127,131,144,179,189,215,225,233,244,253,278,293,314,340,358,378
Congo,5,5,5,5,5,5,6,6,6,6,6,6,8,9,9,9,10,10,10
Croatia,34,34,34,34,33,35,47,48,51,54,55,59,59,69,75,77,80,83,85
Cuba,21,24,24,24,24,27,36,38,43,51,51,54,56,58,61,66,69,69,69
Cyprus,12,12,12,12,12,12,12,12,14,14,14,14,15,15,15,15,15,15,15
Denmark,309,309,309,309,309,321,364,370,403,418,422,427,427,452,460,475,493,503,506
Djibouti,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,369,369,369,369,388,403,507,520,560,576,576,576,663,883,900,1371,1569,1569,1569
Egypt,178,178,178,178,183,196,250,264,294,307,307,317,337,380,392,415,436,452,469
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,35,35,35,35,35,36,40,43,46,46,49,50,50,52,52,53,55,55,55
Ethiopia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,72,72,72,72,72,75,98,141,177,186,190,193,193,211,218,220,240,246,252
France,15729,15729,15729,15729,17167,17920,20265,20796,21856,22614,22614,22856,23293,24087,24376,24760,25201,25201,25809
Gabon,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,6,6,6
Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,8,9,9,9
Germany,3528,3592,3592,3592,3804,4052,4706,5024,5577,5843,5877,5984,6126,6470,6632,6755,6918,6993,7190
Ghana,8,8,8,8,8,8,9,9,10,10,11,11,11,17,17,18,18,18,18
Greece,101,102,102,102,102,105,116,121,130,130,130,134,136,139,140,143,146,146,147
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,5,5,5,5,5,5,7,7,11,11,13,15,15,16,16,16,17,19,19
Guinea,1,1,1,1,1,1,5,6,6,6,7,7,7,7,7,7,9,9,11
Guyana,6,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10
Haiti,3,3,3,3,3,3,3,3,5,6,6,6,6,7,8,8,9,11,12
Honduras,31,31,31,31,31,35,46,46,47,55,59,61,64,71,75,75,82,83,93
Hungary,134,134,134,134,134,142,199,213,250,262,272,280,291,312,323,335,351,363,373
Iceland,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10
India,405,405,405,405,405,448,592,603,722,825,826,886,939,1079,1154,1323,1566,1571,1785
Indonesia,469,469,469,469,469,496,590,616,689,720,743,765,773,792,800,831,864,872,895
Iran,4777,4777,4777,4777,4777,4869,5209,5297,5574,5650,5710,5806,5877,6028,6091,6156,6277,6340,6418
Iraq,78,79,79,79,79,80,82,83,83,86,86,87,88,92,93,95,98,98,102
Ireland,406,406,406,406,444,486,687,730,794,1063,1063,1087,1102,1190,1232,1286,1319,1319,1375
Israel,126,126,126,126,130,142,177,184,193,198,199,202,208,219,223,227,235,237,238
Italy,21067,21645,21645,21645,21645,22170,24114,24648,25549,26384,26384,26644,26977,27682,27967,28710,29079,29315,29684
Jamaica,5,5,5,5,5,5,5,6,6,7,7,7,7,7,8,8,9,9,9
Japan,146,146,146,146,146,178,236,263,328,345,360,372,385,425,430,455,487,536,556
Jordan,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9
Kazakhstan,16,16,16,16,16,17,19,19,25,25,25,25,25,25,25,25,29,29,30
Kenya,10,10,10,10,10,11,14,14,14,14,14,14,14,17,17,22,24,24,26
Kuwait,3,3,3,3,3,3,9,11,15,19,20,22,22,26,30,33,40,40,42
Kyrgyzstan,5,5,5,5,5,5,7,7,8,8,8,8,8,8,8,8,10,11,12
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,5,5,5,5,5,5,5,9,12,12,12,13,13,15,16,16,16,17,17
Lebanon,21,21,21,21,21,21,21,21,22,24,24,24,24,24,24,25,25,25,25
Liberia,6,6,6,6,6,6,8,8,8,11,11,12,16,16,16,18,18,18,20
Libya,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
Lithuania,29,30,30,30,30,32,37,38,40,41,41,41,44,45,45,46,46,46,48
Luxembourg,67,67,67,67,69,69,75,78,83,85,85,88,88,89,90,92,96,96,98
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Malaysia,83,83,83,83,83,84,89,92,96,98,98,99,100,102,103,103,105,106,107
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Mali,13,13,13,13,13,13,14,14,21,21,21,23,23,25,26,26,29,32,32
Malta,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5
Mauritania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritius,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
