Region,Places reporting cases,Cases,Deaths,Confirmed cases in the last 14 days
Africa,Algeria,3848,444,1688
Africa,Angola,27,2,8
Africa,Benin,69,2,34
Africa,Botswana,23,1,10
Africa,Burkina_Faso,641,43,99
Africa,Burundi,15,1,10
Africa,Cameroon,1832,61,977
Africa,Cape_Verde,113,1,58
Africa,Central_African_Republic,50,0,39
Africa,Chad,52,2,25
Africa,Congo,220,9,103
Africa,Cote_dIvoire,1238,14,584
Africa,Democratic_Republic_of_the_Congo,500,31,233
Africa,Djibouti,1077,2,642
Africa,Egypt,5268,380,2763
Africa,Equatorial_Guinea,315,1,264
Africa,Eritrea,39,0,4
Africa,Eswatini,91,1,75
Africa,Ethiopia,130,3,45
Africa,Gabon,276,3,189
Africa,Gambia,11,1,2
Africa,Ghana,1671,16,1030
Africa,Guinea,1351,7,947
Africa,Guinea_Bissau,77,1,34
Africa,Kenya,384,15,159
Africa,Liberia,141,16,82
Africa,Libya,61,2,13
Africa,Madagascar,128,0,18
Africa,Malawi,36,3,20
Africa,Mali,482,25,334
Africa,Mauritania,7,1,0
Africa,Mauritius,334,10,10
Africa,Morocco,4321,168,2297
Africa,Mozambique,76,0,47
Africa,Namibia,16,0,0
Africa,Niger,713,32,129
Africa,Nigeria,1728,51,1321
Africa,Rwanda,225,0,89
Africa,Sao_Tome_and_Principe,14,0,10
Africa,Senegal,882,9,568
Africa,Seychelles,11,0,0
Africa,Sierra_Leone,116,4,103
Africa,Somalia,582,28,502
Africa,South_Africa,5350,103,2844
Africa,South_Sudan,34,0,30
Africa,Sudan,375,28,343
Africa,Togo,109,7,28
Africa,Tunisia,980,40,200
Africa,Uganda,81,0,26
Africa,United_Republic_of_Tanzania,480,16,392
Africa,Western_Sahara,6,0,6
Africa,Zambia,97,3,49
Africa,Zimbabwe,40,4,17
America,Anguilla,3,0,0
America,Antigua_and_Barbuda,24,3,1
America,Argentina,4272,214,1840
America,Aruba,100,2,7
America,Bahamas,80,11,27
America,Barbados,80,7,5
America,Belize,18,2,0
America,Bermuda,111,6,30
America,Bolivia,1110,59,669
America,"Bonaire, Saint Eustatius and Saba",6,0,2
America,Brazil,78162,5466,49842
America,British_Virgin_Islands,6,1,3
America,Canada,51587,2996,23223
America,Cayman_Islands,73,1,13
America,Chile,14885,216,6612
America,Colombia,6211,278,3106
America,Costa_Rica,713,6,87
America,Cuba,1467,58,653
America,Curaçao,16,1,2
America,Dominica,16,0,0
America,Dominican_Republic,6652,293,3038
America,Ecuador,24675,883,16817
America,El_Salvador,377,9,218
America,Falkland_Islands_(Malvinas),13,0,2
America,Greenland,11,0,0
America,Grenada,20,0,6
America,Guatemala,585,16,389
America,Guyana,78,8,23
America,Haiti,76,6,35
America,Honduras,771,71,345
America,Jamaica,396,7,271
America,Mexico,17799,1732,11952
America,Montserrat,11,1,0
America,Nicaragua,14,4,5
America,Panama,6378,178,2627
America,Paraguay,249,9,75
America,Peru,33931,943,22456
America,Puerto_Rico,1433,86,459
America,Saint_Kitts_and_Nevis,15,0,1
America,Saint_Lucia,17,0,2
America,Saint_Vincent_and_the_Grenadines,16,0,4
America,Sint_Maarten,76,13,19
America,Suriname,10,1,0
America,Trinidad_and_Tobago,116,8,2
America,Turks_and_Caicos_islands,12,1,1
America,United_States_of_America,1039909,60966,400245
America,United_States_Virgin_Islands,66,4,15
America,Uruguay,630,15,137
America,Venezuela,331,10,134
Asia,Afghanistan,1949,60,1165
Asia,Bahrain,2921,8,1248
Asia,Bangladesh,7103,163,5872
Asia,Bhutan,7,0,2
Asia,Brunei_Darussalam,138,1,2
Asia,Cambodia,122,0,0
Asia,China,83944,4637,542
Asia,India,33050,1074,20670
Asia,Indonesia,9771,784,4635
Asia,Iran,93657,5957,17268
Asia,Iraq,2003,92,588
Asia,Israel,15834,215,3333
Asia,Japan,14088,415,5506
Asia,Jordan,451,8,50
Asia,Kazakhstan,3205,25,1874
Asia,Kuwait,3740,24,2335
Asia,Kyrgyzstan,746,8,280
Asia,Laos,19,0,0
Asia,Lebanon,721,24,63
Asia,Malaysia,5945,100,873
Asia,Maldives,277,0,256
Asia,Mongolia,38,0,8
Asia,Myanmar,150,6,76
Asia,Nepal,57,0,41
Asia,Oman,2274,10,1364
Asia,Pakistan,15759,346,9254
Asia,Palestine,507,2,216
Asia,Philippines,8212,558,2759
Asia,Qatar,12564,10,8853
Asia,Saudi_Arabia,21402,157,15540
Asia,Singapore,15641,14,11942
Asia,South_Korea,10765,247,152
Asia,Sri_Lanka,649,7,412
Asia,Syria,43,3,10
Asia,Taiwan,429,6,34
Asia,Thailand,2954,54,282
Asia,Timor_Leste,24,0,18
Asia,Turkey,117589,3081,48197
Asia,United_Arab_Emirates,11929,98,6564
Asia,Uzbekistan,2002,9,700
Asia,Vietnam,270,0,2
Asia,Yemen,6,0,5
Europe,Albania,766,31,272
Europe,Andorra,753,42,80
Europe,Armenia,1932,30,773
Europe,Austria,15364,580,994
Europe,Azerbaijan,1766,23,513
Europe,Belarus,13181,84,9453
Europe,Belgium,47859,7501,14286
Europe,Bosnia_and_Herzegovina,1588,62,488
Europe,Bulgaria,1447,64,700
Europe,Croatia,2062,67,321
Europe,Cyprus,843,20,128
Europe,Czechia,7579,227,1276
Europe,Denmark,9008,443,2327
Europe,Estonia,1666,50,264
Europe,Faroe_Islands,187,0,3
Europe,Finland,4906,206,1669
Europe,France,128442,24087,22236
