Region,Places reporting cases,Sum of Cases,Sum of Deaths,Confirmed cases in the last 14 days
Africa,Algeria,4295,459,1760
Africa,Angola,35,2,11
Africa,Benin,90,2,53
Africa,Botswana,23,1,8
Africa,Burkina_Faso,652,44,87
Africa,Burundi,19,1,13
Africa,Cameroon,2077,64,1061
Africa,Cape_Verde,152,2,94
Africa,Central_African_Republic,72,0,60
Africa,Chad,117,10,84
Africa,Comoros,1,0,1
Africa,Congo,229,10,86
Africa,Cote_dIvoire,1362,15,561
Africa,Democratic_Republic_of_the_Congo,674,33,347
Africa,Djibouti,1112,2,380
Africa,Egypt,6193,415,3161
Africa,Equatorial_Guinea,315,1,236
Africa,Eritrea,39,0,4
Africa,Eswatini,108,1,89
Africa,Ethiopia,133,3,28
Africa,Gabon,335,5,226
Africa,Gambia,17,1,8
Africa,Ghana,2169,18,1335
Africa,Guinea,1586,7,1109
Africa,Guinea_Bissau,257,1,207
Africa,Kenya,435,22,173
Africa,Liberia,154,18,73
Africa,Libya,63,3,14
Africa,Madagascar,135,0,18
Africa,Malawi,38,3,21
Africa,Mali,544,26,328
Africa,Mauritania,8,1,1
Africa,Mauritius,334,10,9
Africa,Morocco,4729,173,2044
Africa,Mozambique,79,0,44
Africa,Namibia,16,0,0
Africa,Niger,736,35,97
Africa,Nigeria,2388,85,1846
Africa,Rwanda,255,0,111
Africa,Sao_Tome_and_Principe,18,1,14
Africa,Senegal,1115,9,765
Africa,Seychelles,11,0,0
Africa,Sierra_Leone,155,8,125
Africa,Somalia,671,31,536
Africa,South_Africa,6336,123,3302
Africa,South_Sudan,45,0,41
Africa,Sudan,592,41,526
Africa,Togo,123,9,39
Africa,Tunisia,1009,42,143
Africa,Uganda,88,0,33
Africa,United_Republic_of_Tanzania,480,16,332
Africa,Western_Sahara,6,0,6
Africa,Zambia,119,3,62
Africa,Zimbabwe,34,4,9
America,Anguilla,3,0,0
America,Antigua_and_Barbuda,25,3,2
America,Argentina,4668,237,1840
America,Aruba,100,2,4
America,Bahamas,83,11,25
America,Barbados,81,7,6
America,Belize,18,2,0
America,Bermuda,114,7,28
America,Bolivia,1470,71,950
America,"Bonaire, Saint Eustatius and Saba",6,0,2
America,Brazil,96559,6750,59960
America,British_Virgin_Islands,6,1,3
America,Canada,56714,3566,23373
America,Cayman_Islands,74,1,13
America,Chile,18435,247,8705
America,Colombia,7285,324,3664
America,Costa_Rica,733,6,78
America,Cuba,1611,66,625
America,Curaçao,16,1,2
America,Dominica,16,0,0
America,Dominican_Republic,7578,326,3243
America,Ecuador,27464,1371,18442
America,El_Salvador,446,11,256
America,Falkland_Islands_(Malvinas),13,0,2
America,Greenland,11,0,0
America,Grenada,21,0,7
America,Guatemala,688,17,431
America,Guyana,82,9,19
America,Haiti,85,8,41
America,Honduras,1010,76,538
America,Jamaica,463,8,290
America,Mexico,22088,2061,14591
America,Montserrat,11,1,0
America,Nicaragua,14,4,5
America,Panama,7090,197,2817
America,Paraguay,370,10,168
America,Peru,42534,1200,28114
America,Puerto_Rico,1757,95,639
America,Saint_Kitts_and_Nevis,15,0,1
America,Saint_Lucia,17,0,2
America,Saint_Vincent_and_the_Grenadines,16,0,4
America,Sint_Maarten,76,13,12
America,Suriname,10,1,0
America,Trinidad_and_Tobago,116,8,2
America,Turks_and_Caicos_islands,12,1,1
America,United_States_of_America,1133069,66385,397983
America,United_States_Virgin_Islands,66,4,13
America,Uruguay,652,17,135
America,Venezuela,345,10,118
Asia,Afghanistan,2469,72,1561
Asia,Bahrain,3284,8,1511
Asia,Bangladesh,8790,175,6646
Asia,Bhutan,7,0,2
Asia,Brunei_Darussalam,138,1,1
Asia,Cambodia,122,0,0
Asia,China,83961,4637,158
Asia,India,39980,1301,24268
Asia,Indonesia,10843,831,4595
Asia,Iran,96448,6156,15580
Asia,Iraq,2219,95,737
Asia,Israel,16185,229,2920
Asia,Japan,14839,492,4478
Asia,Jordan,460,9,47
Asia,Kazakhstan,3877,25,2223
Asia,Kuwait,4619,33,2867
Asia,Kyrgyzstan,795,10,241
Asia,Laos,19,0,0
Asia,Lebanon,733,25,61
Asia,Malaysia,6176,103,871
Asia,Maldives,519,1,484
Asia,Mongolia,39,0,8
Asia,Myanmar,151,6,44
