,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,"1,026",+30,36 ,+3,135,855,7,26,0.9,"6,422",165
1,Albania,584,+22,26 ,0,327,231,5,203,9,"5,775","2,007"
2,Algeria,"2,718",+89,384 ,+9,"1,099","1,235",40,62,9,"6,500",148
3,Andorra,717,+4,37 ,+1,248,432,17,"9,280",479,"1,673","21,653"
4,Angola,24,0,2 ,0,6,16,0,0.7,0.06,0,0
5,Anguilla,3,0, ,0,1,2,0,200,0,0,0
6,Antigua and Barbuda,23,0,3 ,0,3,17,1,235,31,73,745
7,Argentina,"2,941",0,136 ,+2,737,"2,068",123,65,3,"34,568",765
8,Armenia,"1,339",+48,22 ,+2,580,737,30,452,7,"13,373","4,513"
9,Aruba,97,0,2 ,0,49,46,4,909,19,"1,442","13,506"
10,Australia,"6,619",+7,71 ,0,"4,258","2,290",49,260,3,"431,734","16,931"
11,Austria,"14,795",+46,470 ,+18,"10,631","3,694",194,"1,643",52,"182,949","20,313"
12,Azerbaijan,"1,436",+38,19 ,0,791,626,16,142,2,"95,747","9,443"
13,Bahamas,60,0,9 ,0,11,40,1,153,23,0,0
14,Bahrain,"1,907",+26,7 ,0,769,"1,131",2,"1,121",4,"89,225","52,437"
15,Bangladesh,"2,948",+492,101 ,+10,85,"2,762",1,18,0.6,"26,604",162
16,Barbados,75,0,5 ,0,19,51,4,261,17,"1,035","3,602"
17,Belarus,"6,264","+1,485",51 ,+4,514,"5,699",92,663,5,"102,556","10,853"
18,Belgium,"39,983","+1,487","5,828 ",+145,"8,895","25,260","1,071","3,450",503,"161,896","13,969"
19,Belize,18,0,2 ,0,2,14,1,45,5,651,"1,637"
20,Benin,54,+19,1 ,0,27,26,0,4,0.08,0,0
21,Bermuda,86,0,5 ,0,35,46,10,"1,381",80,638,"10,244"
22,Bhutan,5,0, ,0,2,3,0,6,0,"8,570","11,107"
23,Bolivia,564,+44,33 ,+1,31,500,3,48,3,"3,569",306
24,Bosnia and Herzegovina,"1,309",+24,49 ,+1,381,879,4,399,15,"18,538","5,650"
25,Botswana,20,0,1 ,0,0,19,0,9,0.4,"4,432","1,885"
26,Brazil,"40,581","+1,927","2,845 ",+383,"22,130","15,606","7,919",191,13,"62,985",296
27,British Virgin Islands,5,+1,1 ,0,3,1,0,165,33,0,0
28,Brunei ,138,0,1 ,0,116,21,2,315,2,"11,633","26,591"
29,Bulgaria,929,+35,43 ,+1,167,719,34,134,6,"26,417","3,802"
30,Burkina Faso,581,+5,38 ,+2,357,186,0,28,2,0,0
