,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,2469,134,72,4,331,2066,7,63,2,11068,284
1,Albania,789,7,31,0,519,239,4,274,11,8669,3012
2,Algeria,4295,141,459,6,1872,1964,22,98,10,6500,148
3,Andorra,747,2,44,1,472,231,17,9668,569,1673,21653
4,Angola,35,5,2,0,11,22,0,1,0.06,481,15
5,Anguilla,3,0,0,0,3,0,0,200,0,0,0
6,AntiguaandBarbuda,25,0,3,0,15,7,1,255,31,151,1542
7,Argentina,4532,0,229,4,1320,2983,157,100,5,63866,1413
8,Armenia,2273,125,33,0,1010,1230,10,767,11,23142,7810
9,Aruba,100,0,2,0,81,17,4,937,19,1731,16213
10,Australia,6783,16,93,0,5789,901,28,266,4,611583,23984
11,Austria,15558,27,596,7,13180,1782,114,1727,66,269619,29936
12,Azerbaijan,1894,40,25,0,1411,458,17,187,2,152597,15050
13,Bahamas,82,1,11,0,24,47,1,209,28,1313,3339
14,Bahrain,3284,114,8,0,1568,1708,1,1930,5,139354,81897
15,Bangladesh,8790,552,175,5,177,8438,1,53,1,76066,462
16,Barbados,81,0,7,0,44,30,4,282,24,2369,8244
17,Belarus,15828,911,97,4,3117,12614,92,1675,10,195430,20682
18,Belgium,49517,485,7765,62,12211,29541,689,4273,670,260996,22520
19,Belize,18,0,2,0,13,3,1,45,5,1043,2623
20,Benin,90,0,2,0,42,46,0,7,0.2,0,0
21,Bermuda,114,0,7,1,51,56,4,1831,112,2819,45265
22,Bhutan,7,0,0,0,5,2,0,9,0,10548,13670
23,Bolivia,1229,62,66,4,134,1029,3,105,6,5791,496
24,BosniaandHerzegovina,1839,58,72,2,779,988,4,561,22,32783,9992
25,Botswana,23,0,1,0,8,14,0,10,0.4,7675,3264
26,Brazil,96559,4450,6750,340,40937,48872,8318,454,32,339552,1597
27,BritishVirginIslands,6,0,1,0,3,2,0,198,33,0,0
28,Brunei,138,0,1,0,126,11,2,315,2,13924,31828
29,Bulgaria,1594,39,72,4,287,1235,43,229,10,47636,6856
30,BurkinaFaso,652,3,44,0,535,73,0,31,2,0,0
31,Burundi,15,4,1,0,7,7,0,1,0.08,284,24
32,CAR,72,0,0,0,10,62,0,15,0,0,0
33,CaboVerde,152,30,2,1,18,132,0,273,4,791,1423
34,Cambodia,122,0,0,0,120,2,1,7,0,12222,731
35,Cameroon,2077,245,64,3,953,1060,12,78,2,0,0
36,Canada,56714,1653,3566,175,23801,29347,557,1503,94,832222,22050
37,CaribbeanNetherlands,6,0,0,0,0,6,0,229,0,110,4195
38,CaymanIslands,74,0,1,0,10,63,3,1126,15,1927,29320
39,Chad,117,44,10,5,39,68,0,7,0.6,0,0
40,ChannelIslands,543,5,41,0,406,96,0,3123,236,5342,30725
41,Chile,18435,1427,247,13,9572,8616,425,964,13,199400,10431
42,China,82875,1,4633,0,77685,557,37,58,3,0,0
43,Colombia,7285,279,324,10,1666,5295,118,143,6,108950,2141
44,Comoros,3,2,0,0,0,3,0,3,0,0,0
45,Congo,229,0,9,0,25,195,0,41,2,0,0
46,CostaRica,733,8,6,0,372,355,6,144,1,13632,2676
47,Croatia,2088,3,77,2,1463,548,17,509,19,37557,9148
48,Cuba,1611,74,66,2,765,780,10,142,6,51506,4547
49,Curaçao,16,0,1,0,13,2,0,98,6,351,2139
50,Cyprus,864,7,15,0,296,553,15,716,12,62267,51573
51,Czechia,7755,18,245,5,3461,4049,67,724,23,253826,23702
52,DRC,604,0,32,0,75,497,0,7,0.4,0,0
53,Denmark,9407,96,475,15,6889,2043,60,1624,82,221912,38312
54,DiamondPrincess,712,0,13,0,645,54,4,0,0,0,0
55,Djibouti,1112,15,2,0,686,424,0,1126,2,13856,14024
56,Dominica,16,0,0,0,13,3,0,222,0,383,5320
57,DominicanRepublic,7578,290,326,13,1481,5771,144,699,30,30102,2775
58,Ecuador,27464,1128,1371,308,2132,23961,149,1557,78,73929,4190
59,Egypt,6193,298,415,9,1522,4256,0,61,4,90000,879
60,ElSalvador,446,22,10,0,141,295,2,69,2,26961,4157
61,EquatorialGuinea,315,0,1,0,9,305,0,225,0.7,854,609
62,Eritrea,39,0,0,0,26,13,0,11,0,0,0
63,Estonia,1699,5,53,1,256,1390,7,1281,40,54464,41057
64,Eswatini,108,2,1,0,12,95,0,93,0.9,714,615
65,Ethiopia,133,0,3,0,69,61,0,1,0.03,20770,181
66,FaeroeIslands,187,0,0,0,184,3,0,3827,0,8021,164153
67,FalklandIslands,13,0,0,0,13,0,0,3736,0,388,111494
68,Fiji,18,0,0,0,14,4,0,20,0,1007,1123
69,Finland,5176,125,220,2,3000,1956,52,934,40,101800,18373
70,France,168396,1050,24760,166,50562,93074,3827,2580,379,1100228,16856
