CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"2,545,689","+65,186","176,840","+6,443","687,060","1,681,789","57,254",327,22.7,,
,Europe,,"1,139,682","+26,586","107,844","+3,353","344,820","687,018","26,042",,
,North America,,"874,464","+23,068","48,111","+2,678","99,496","726,857","15,278",,
USA,"813,579","+20,820","44,996  ","+2,482","82,620","685,963","14,016","2,458",136,"4,141,253","12,511"
,Asia,,"408,786","+12,317","15,449",+317,"191,255","202,082","6,224",,
Spain,"204,178","+3,968","21,282 ",+430,"82,514","100,382","7,705","4,367",455,"930,230","19,896"
Italy,"183,957","+2,729","24,648 ",+534,"51,600","107,709","2,471","3,043",408,"1,450,150","23,985"
France,"158,050","+2,667","20,796 ",+531,"39,181","98,073","5,433","2,421",319,"463,662","7,103"
Germany,"148,206","+1,141","5,024 ",+162,"95,200","47,982","2,889","1,769",60,"1,728,357","20,629"
UK,"129,044","+4,301","17,337 ",+828,N/A,"111,363","1,559","1,901",255,"535,342","7,886"
Turkey,"95,591","+4,611","2,259 ",+119,"14,918","78,414","1,865","1,133",27,"713,409","8,459"
,South America,,"88,699","+2,213","4,147",+68,"38,407","46,145","9,475",,
Iran,"84,802","+1,297","5,297 ",+88,"60,965","18,540","3,357","1,010",63,"365,723","4,354"
China,"82,758",+11,"4,632 ",,"77,123","1,003",82,57,3,,
Russia,"52,763","+5,642",456 ,+51,"3,873","48,434",700,362,3,"2,142,604","14,682"
Belgium,"40,956",+973,"5,998 ",+170,"9,002","25,956","1,079","3,534",518,"167,110","14,419"
Brazil,"40,814",+71,"2,588 ",+1,"22,991","15,235","8,318",192,12,"291,922","1,373"
Canada,"38,205","+1,376","1,831 ",+141,"12,586","23,788",557,"1,012",49,"565,931","14,995"
Netherlands,"34,134",+729,"3,916 ",+165,N/A,"29,968","1,087","1,992",229,"171,415","10,004"
Switzerland,"28,063",+119,"1,478 ",+49,"19,400","7,185",386,"3,243",171,"227,554","26,293"
,Africa,,"25,148",+977,"1,190",+26,"6,708","17,250",174,,
Portugal,"21,379",+516,762 ,+27,917,"19,700",213,"2,097",75,"271,962","26,672"
India,"18,985",+446,603 ,+11,"3,273","15,109",,14,0.4,"401,586",291
Peru,"17,837","+1,512",484 ,+39,"6,982","10,371",380,541,15,"155,724","4,723"
Ireland,"16,040",+388,730 ,+43,"9,233","6,077",315,"3,248",148,"111,584","22,598"
Sweden,"15,322",+545,"1,765 ",+185,550,"13,007",515,"1,517",175,"94,500","9,357"
Austria,"14,873",+78,491 ,+21,"10,971","3,411",196,"1,651",55,"189,018","20,987"
Israel,"13,942",+229,184 ,+7,"4,507","9,251",139,"1,611",21,"240,303","27,763"
Saudi Arabia,"11,631","+1,147",109 ,+6,"1,640","9,882",81,334,3,"500,000","14,362"
Japan,"11,135",,263 ,,"1,239","9,633",217,88,2,"116,725",923
Chile,"10,832",+325,147 ,+8,"4,969","5,716",392,567,8,"122,357","6,401"
S. Korea,"10,683",+9,237 ,+1,"8,213","2,233",55,208,5,"571,014","11,138"
Ecuador,"10,398",+270,520 ,+13,"1,207","8,671",137,589,29,"33,389","1,892"
Poland,"9,856",+263,401 ,+21,"1,297","8,158",160,260,11,"224,355","5,928"
Pakistan,"9,565",+673,201 ,+25,"2,073","7,291",46,43,0.9,"111,806",506
Romania,"9,242",+306,498 ,+20,"2,153","6,591",245,480,26,"101,552","5,279"
Singapore,"9,125","+1,111",11 ,,839,"8,275",23,"1,560",2,"94,796","16,203"
Mexico,"8,772",+511,712 ,+26,"2,627","5,433",378,68,6,"49,570",384
,Oceania,,"8,189",+25,84,+1,"5,730","2,375",54,,
UAE,"7,755",+490,46 ,+3,"1,443","6,266",1,784,5,"790,000","79,875"
Denmark,"7,695",+180,370 ,+6,"4,700","2,625",81,"1,329",64,"100,543","17,358"
Norway,"7,191",+35,182 ,+1,32,"6,977",58,"1,326",34,"145,279","26,798"
Indonesia,"7,135",+375,616 ,+26,842,"5,677",,26,2,"50,370",184
Czechia,"6,961",+61,201 ,+7,"1,753","5,007",75,650,19,"178,617","16,679"
Serbia,"6,890",+260,130 ,+5,977,"5,783",101,789,15,"45,355","5,191"
Belarus,"6,723",+459,55 ,+4,577,"6,091",92,711,6,"108,545","11,487"
Australia,"6,645",+20,71 ,,"4,685","1,889",49,261,3,"439,000","17,216"
Philippines,"6,599",+140,437 ,+9,654,"5,508",1,60,4,"64,845",592
Qatar,"6,533",+518,9 ,,614,"5,910",37,"2,268",3,"66,725","23,160"
Ukraine,"6,125",+415,161 ,+10,367,"5,597",45,140,4,"61,997","1,418"
Malaysia,"5,482",+57,92 ,+3,"3,349","2,041",43,169,3,"108,216","3,344"
Dominican Republic,"5,044",+80,245 ,+10,463,"4,336",126,465,23,"16,973","1,565"
Panama,"4,658",+191,136 ,+10,204,"4,318",98,"1,080",32,"20,996","4,866"
Finland,"4,014",+146,141 ,+43,"2,000","1,873",63,724,25,"61,800","11,154"
Colombia,"3,977",,189 ,,804,"2,984",98,78,4,"65,169","1,281"
Luxembourg,"3,618",+60,78 ,+3,670,"2,870",32,"5,780",125,"34,962","55,852"
